SubID,Vers,Block,Trial,RewLvl,EffLvl,Congruency,TargetResp,RollingEffLvl,Resp,RT,Acc,Fast,AccRT,IsRewarded,IsMiss,runavgRRgen,runavgRRcond,ZRT,AccZRT,RRS_Score,DASS_Score,GSE_Score,EffLvlNum,RewLvlNum,IsRewardedNum,numericBlock,SubIDnum,zDASS_Score,zGSE_Score,zRRS_Score,IvsCcong
1052,103,1,1,NaN,NaN,1,3,0.6,3,524,1,1,524,1,0,0,NaN,-0.27497149,-0.27497149,NaN,NaN,NaN,-1.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,2,NaN,NaN,0,4,0.6,4,620,1,1,620,1,0,0.4,NaN,0.579503086,0.579503086,NaN,NaN,NaN,0.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,3,NaN,NaN,0,1,0.6,1,465,1,1,465,1,0,0.8,0,-0.800117323,-0.800117323,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,4,NaN,NaN,2,4,0.6,4,576,1,1,576,1,0,1.6,NaN,0.187868905,0.187868905,NaN,NaN,NaN,1.5,-0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,5,NaN,NaN,1,1,0.7,1,521,1,1,521,1,0,2,NaN,-0.301673821,-0.301673821,NaN,NaN,NaN,-0.5,0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,6,NaN,NaN,0,4,0.7,4,685,1,1,685,1,0,2.6,NaN,1.15805358,1.15805358,NaN,NaN,NaN,0.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,7,NaN,NaN,1,2,0.7,2,537,1,1,537,1,0,3,NaN,-0.159261391,-0.159261391,NaN,NaN,NaN,0.5,0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,8,NaN,NaN,1,1,0.7,1,463,1,1,463,1,0,3.2,NaN,-0.817918877,-0.817918877,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,9,NaN,NaN,0,3,0.7,3,680,1,1,680,1,0,3.2,NaN,1.113549695,1.113549695,NaN,NaN,NaN,-0.5,-1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,10,NaN,NaN,0,1,0.7,1,598,1,1,598,0,0,3,NaN,0.383685995,0.383685995,NaN,NaN,NaN,-1.5,-0.5,0,1,1052,NaN,NaN,NaN,0
1052,103,1,11,NaN,NaN,1,2,0.7,2,470,1,1,470,1,0,2.4,NaN,-0.755613439,-0.755613439,NaN,NaN,NaN,0.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,12,NaN,NaN,2,4,0.7,4,556,1,1,556,0,0,2,NaN,0.009853368,0.009853368,NaN,NaN,NaN,-1.5,-1.5,0,1,1052,NaN,NaN,NaN,NaN
1052,103,1,13,NaN,NaN,1,1,0.7,1,492,1,1,492,0,0,1.4,NaN,-0.559796349,-0.559796349,NaN,NaN,NaN,-0.5,0.5,0,1,1052,NaN,NaN,NaN,1
1052,103,1,14,NaN,NaN,0,4,0.7,4,573,1,1,573,1,0,0.6,NaN,0.161166574,0.161166574,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,15,NaN,NaN,2,1,0.7,1,676,1,1,676,1,0,1.2,NaN,1.077946588,1.077946588,NaN,NaN,NaN,1.5,0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,16,NaN,NaN,1,3,0.7,3,733,1,1,733,1,0,1.8,NaN,1.585290867,1.585290867,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,17,NaN,NaN,0,1,0.7,1,599,1,1,599,0,0,2.2,NaN,0.392586772,0.392586772,NaN,NaN,NaN,0.5,-1.5,0,1,1052,NaN,NaN,NaN,0
1052,103,1,18,NaN,NaN,1,2,0.7,2,406,1,1,406,1,0,2.2,NaN,-1.325263156,-1.325263156,NaN,NaN,NaN,0.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,19,NaN,NaN,1,3,0.7,3,639,1,1,639,1,0,3,0,0.748617845,0.748617845,NaN,NaN,NaN,1.5,-1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,20,NaN,NaN,2,2,0.9,2,803,1,0,803,1,0,2.4,NaN,2.208345246,2.208345246,NaN,NaN,NaN,-0.5,0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,21,NaN,NaN,1,1,0.9,1,371,1,1,371,1,0,2.4,NaN,-1.636790345,-1.636790345,NaN,NaN,NaN,-1.5,0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,22,NaN,NaN,2,3,0.9,3,587,1,1,587,1,0,2.2,0.2,0.28577745,0.28577745,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,23,NaN,NaN,0,2,1,2,632,1,1,632,1,0,3,NaN,0.686312408,0.686312408,NaN,NaN,NaN,-0.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,24,NaN,NaN,1,3,1,3,657,1,1,657,1,0,3,0.2,0.908831828,0.908831828,NaN,NaN,NaN,1.5,-1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,25,NaN,NaN,2,4,1,4,632,1,1,632,1,0,3,0.4,0.686312408,0.686312408,NaN,NaN,NaN,1.5,-1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,26,NaN,NaN,1,1,1,1,505,1,1,505,1,0,2.6,NaN,-0.44408625,-0.44408625,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,27,NaN,NaN,0,2,1,2,393,1,1,393,1,0,2.4,NaN,-1.440973255,-1.440973255,NaN,NaN,NaN,1.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,28,NaN,NaN,2,4,1,4,489,1,1,489,1,0,2,NaN,-0.586498679,-0.586498679,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,29,NaN,NaN,1,3,1,3,673,1,1,673,1,0,1.6,NaN,1.051244258,1.051244258,NaN,NaN,NaN,-0.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,30,NaN,NaN,0,2,1,2,530,1,1,530,1,0,2.2,NaN,-0.221566829,-0.221566829,NaN,NaN,NaN,1.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,31,NaN,NaN,2,3,1,3,638,1,1,638,1,0,2.6,NaN,0.739717068,0.739717068,NaN,NaN,NaN,1.5,0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,32,NaN,NaN,0,2,1,2,615,1,1,615,1,0,2.8,NaN,0.534999201,0.534999201,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,33,NaN,NaN,2,3,1,3,550,1,1,550,1,0,2.8,NaN,-0.043551293,-0.043551293,NaN,NaN,NaN,0.5,-1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,34,NaN,NaN,0,2,1,2,581,1,1,581,1,0,2.6,NaN,0.232372789,0.232372789,NaN,NaN,NaN,1.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,35,NaN,NaN,1,4,1,4,572,1,1,572,1,0,2.2,0.4,0.152265798,0.152265798,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,36,NaN,NaN,0,2,1,3,626,0,1,NaN,0,0,2.4,NaN,0.632907747,NaN,NaN,NaN,NaN,1.5,-0.5,0,1,1052,NaN,NaN,NaN,0
1052,103,1,37,NaN,NaN,0,3,0.8,3,594,1,1,594,1,0,1.8,0.6,0.348082888,0.348082888,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,38,NaN,NaN,0,4,0.8,4,653,1,1,653,1,0,2.2,NaN,0.873228721,0.873228721,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,39,NaN,NaN,0,2,0.8,2,422,1,1,422,1,0,2.8,NaN,-1.182850727,-1.182850727,NaN,NaN,NaN,-0.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,40,NaN,NaN,2,4,0.8,4,515,1,1,515,1,0,3,NaN,-0.355078482,-0.355078482,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,41,NaN,NaN,1,1,0.8,1,529,1,1,529,1,0,3,NaN,-0.230467606,-0.230467606,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,42,NaN,NaN,0,2,0.8,2,518,1,1,518,1,0,3.8,NaN,-0.328376151,-0.328376151,NaN,NaN,NaN,-1.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,43,NaN,NaN,2,3,0.8,3,579,1,1,579,1,0,3.6,0.8,0.214571235,0.214571235,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,44,NaN,NaN,1,4,0.8,4,567,1,1,567,1,0,3.6,NaN,0.107761913,0.107761913,NaN,NaN,NaN,-0.5,-1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,45,NaN,NaN,1,1,0.8,1,542,1,1,542,1,0,3.2,NaN,-0.114757507,-0.114757507,NaN,NaN,NaN,1.5,0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,46,NaN,NaN,0,3,0.8,3,568,1,1,568,1,0,3,NaN,0.11666269,0.11666269,NaN,NaN,NaN,0.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,47,NaN,NaN,1,1,0.8,1,548,1,1,548,1,0,3,NaN,-0.061352846,-0.061352846,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,48,NaN,NaN,2,4,0.8,4,510,1,1,510,1,0,2.8,NaN,-0.399582366,-0.399582366,NaN,NaN,NaN,-1.5,-1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,49,NaN,NaN,0,2,0.8,3,564,0,1,NaN,0,0,2.2,NaN,0.081059583,NaN,NaN,NaN,NaN,0.5,1.5,0,1,1052,NaN,NaN,NaN,0
1052,103,1,50,NaN,NaN,0,4,0.8,4,669,1,1,669,1,0,2,NaN,1.01564115,1.01564115,NaN,NaN,NaN,-0.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,51,NaN,NaN,1,1,0.8,1,508,1,1,508,1,0,2,NaN,-0.41738392,-0.41738392,NaN,NaN,NaN,0.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,52,NaN,NaN,0,3,0.8,3,731,1,1,731,1,0,2,NaN,1.567489314,1.567489314,NaN,NaN,NaN,-1.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,53,NaN,NaN,1,2,0.8,2,577,1,1,577,1,0,2,NaN,0.196769682,0.196769682,NaN,NaN,NaN,0.5,-1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,54,NaN,NaN,1,3,0.8,3,409,1,1,409,1,0,2,NaN,-1.298560826,-1.298560826,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,55,NaN,NaN,1,1,0.8,1,561,1,1,561,1,0,2.4,NaN,0.054357252,0.054357252,NaN,NaN,NaN,-0.5,-1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,56,NaN,NaN,0,4,0.8,4,552,1,1,552,1,0,2,NaN,-0.025749739,-0.025749739,NaN,NaN,NaN,1.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,57,NaN,NaN,0,2,0.8,2,843,1,0,843,0,0,1.8,NaN,2.564376319,2.564376319,NaN,NaN,NaN,-0.5,1.5,0,1,1052,NaN,NaN,NaN,0
1052,103,1,58,NaN,NaN,0,4,0.8,4,668,1,1,668,1,0,1.4,NaN,1.006740373,1.006740373,NaN,NaN,NaN,-1.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,59,NaN,NaN,2,2,0.8,4,562,0,1,NaN,0,0,1.6,NaN,0.063258029,NaN,NaN,NaN,NaN,0.5,-1.5,0,1,1052,NaN,NaN,NaN,NaN
1052,103,1,60,NaN,NaN,1,3,0.8,3,841,1,0,841,0,0,1.2,NaN,2.546574765,2.546574765,NaN,NaN,NaN,0.5,0.5,0,1,1052,NaN,NaN,NaN,1
1052,103,1,61,NaN,NaN,1,4,0.8,4,542,1,1,542,1,0,1,1,-0.114757507,-0.114757507,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,62,NaN,NaN,0,1,1,1,580,1,1,580,1,0,1.2,NaN,0.223472012,0.223472012,NaN,NaN,NaN,-0.5,-0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,63,NaN,NaN,2,4,1,4,575,1,1,575,1,0,1.6,NaN,0.178968128,0.178968128,NaN,NaN,NaN,0.5,0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,64,NaN,NaN,1,1,1,1,547,1,1,547,1,0,1.8,NaN,-0.070253623,-0.070253623,NaN,NaN,NaN,0.5,1.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,65,NaN,NaN,1,4,1,4,818,1,0,818,0,0,2.6,NaN,2.341856898,2.341856898,NaN,NaN,NaN,1.5,0.5,0,1,1052,NaN,NaN,NaN,1
1052,103,1,66,NaN,NaN,1,3,0.8,3,794,1,0,794,1,0,2.6,NaN,2.128238254,2.128238254,NaN,NaN,NaN,-1.5,0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,67,NaN,NaN,0,2,0.8,2,511,1,1,511,1,0,2.4,NaN,-0.390681589,-0.390681589,NaN,NaN,NaN,-0.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,68,NaN,NaN,2,1,0.8,1,495,1,1,495,1,0,2.8,NaN,-0.533094018,-0.533094018,NaN,NaN,NaN,-0.5,-1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,69,NaN,NaN,0,3,0.8,3,702,1,1,702,1,0,2.4,1,1.309366786,1.309366786,NaN,NaN,NaN,1.5,1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,70,NaN,NaN,0,4,0.8,4,607,1,1,607,1,0,2.4,NaN,0.463792987,0.463792987,NaN,NaN,NaN,0.5,-1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,71,NaN,NaN,2,2,0.8,2,671,1,1,671,1,0,2.6,NaN,1.033442704,1.033442704,NaN,NaN,NaN,-1.5,1.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,72,NaN,NaN,1,4,0.8,4,647,1,1,647,1,0,2.8,NaN,0.81982406,0.81982406,NaN,NaN,NaN,0.5,-0.5,1,1,1052,NaN,NaN,NaN,1
1052,103,1,73,NaN,NaN,2,3,0.8,3,614,1,1,614,1,0,2.4,NaN,0.526098425,0.526098425,NaN,NaN,NaN,1.5,-0.5,1,1,1052,NaN,NaN,NaN,NaN
1052,103,1,74,NaN,NaN,0,1,0.8,1,479,1,1,479,1,0,2.6,0.6,-0.675506448,-0.675506448,NaN,NaN,NaN,1.5,-1.5,1,1,1052,NaN,NaN,NaN,0
1052,103,1,75,NaN,NaN,0,4,0.8,4,789,1,0,789,1,0,2,NaN,2.08373437,2.08373437,NaN,NaN,NaN,0.5,0.5,1,1,1052,NaN,NaN,NaN,0
1052,103,2,76,NaN,NaN,2,2,0.8,2,786,1,0,786,1,0,2.4,NaN,2.05703204,2.05703204,NaN,NaN,NaN,-0.5,-1.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,77,NaN,NaN,0,4,0.8,4,730,1,1,730,1,0,1.8,NaN,1.558588537,1.558588537,NaN,NaN,NaN,-0.5,-0.5,1,2,1052,NaN,NaN,NaN,0
1052,103,2,78,NaN,NaN,2,2,0.8,2,548,1,1,548,1,0,1.8,NaN,-0.061352846,-0.061352846,NaN,NaN,NaN,-0.5,-1.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,79,NaN,NaN,1,1,0.8,1,366,1,1,366,1,0,1.6,NaN,-1.68129423,-1.68129423,NaN,NaN,NaN,-0.5,0.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,80,NaN,NaN,1,3,0.8,3,521,1,1,521,1,0,2,NaN,-0.301673821,-0.301673821,NaN,NaN,NaN,-1.5,1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,81,NaN,NaN,1,1,0.8,1,367,1,1,367,1,0,2.2,NaN,-1.672393453,-1.672393453,NaN,NaN,NaN,0.5,1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,82,NaN,NaN,2,2,0.8,2,449,1,1,449,1,0,2.8,NaN,-0.942529753,-0.942529753,NaN,NaN,NaN,-1.5,-0.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,83,NaN,NaN,1,1,0.8,1,426,1,1,426,1,0,2.8,NaN,-1.14724762,-1.14724762,NaN,NaN,NaN,0.5,-1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,84,NaN,NaN,1,3,0.8,3,525,1,1,525,1,0,2.8,NaN,-0.266070713,-0.266070713,NaN,NaN,NaN,-0.5,-1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,85,NaN,NaN,1,2,0.8,2,593,1,1,593,1,0,2.4,1,0.339182111,0.339182111,NaN,NaN,NaN,1.5,1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,86,NaN,NaN,1,3,0.8,3,675,1,1,675,1,0,2.4,NaN,1.069045811,1.069045811,NaN,NaN,NaN,-0.5,0.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,87,NaN,NaN,0,1,0.8,1,361,1,1,361,1,0,2.2,NaN,-1.725798114,-1.725798114,NaN,NaN,NaN,-1.5,-1.5,1,2,1052,NaN,NaN,NaN,0
