subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,1,2,0.5,0.5,-0.5,3,3,0.9,3,628,1,1,628,1,0,0.4,NaN,-0.576108262677088,-0.576108262677088,750,1,0,congruent,1,1577.78486844884,1773.57079346695
14,104,1,3,0.5,-0.5,0.5,1,2,0.9,1,731,1,1,731,1,0,0.8,NaN,0.252719174499779,0.252719174499779,750,0,0,incongruent,1,1665.59486025508,2507.95216952666
14,104,1,4,-0.5,0.5,-0.5,4,4,0.9,4,631,1,1,631,1,0,1.2,0,-0.551967657710772,-0.551967657710772,750,1,0,congruent,0.1,1644.30191471578,2197.05145236213
14,104,1,5,-0.5,-0.5,-0.5,2,2,1,2,545,1,1,545,1,0,1.4,0,-1.24399833341185,-1.24399833341185,750,1,0,congruent,0.1,2983.99287098243,628.146396617349
14,104,1,6,0.5,0.5,-0.5,4,4,1,4,472,1,1,472,1,0,1.6,NaN,-1.83141972092555,-1.83141972092555,750,1,0,congruent,1,1506.03192050592,1150.41480730724
14,104,1,8,-0.5,0.5,0,2,NaN,0.8,2,700,1,1,700,1,0,1.2,0.2,0.00326625651450791,0.00326625651450791,750,0,0,neutral,0.1,1306.61624755496,1301.48285795993
14,104,1,9,0.5,-0.5,0.5,1,4,0.8,3,593,0,1,NaN,1,0,1,NaN,-0.857748653950781,NaN,750,0,1,incongruent,1,373.076586284294,1027.73459095148
14,104,1,10,-0.5,0.5,-0.5,2,2,0.8,2,709,1,1,709,1,0,1.2,0.4,0.0756880714134575,0.0756880714134575,750,1,0,congruent,0.1,3199.78502363857,2631.19333312455
14,104,1,11,0.5,0.5,0.5,3,1,0.8,3,553,1,1,553,1,0,1.2,NaN,-1.179623386835,-1.179623386835,750,0,0,incongruent,1,888.833500530462,474.875000237921
14,104,1,12,-0.5,0.5,0.5,2,3,0.8,2,673,1,1,673,1,0,1.2,0.6,-0.213999188182341,-0.213999188182341,750,0,0,incongruent,0.1,1714.5580186933,984.809857676061
