"subject","eventN","eventCode","timeS","samplingPoint","trial","trialExcluded","eventCodeNew"
10,1,93,4.498047,2304,1,0,93
10,2,53,6.015625,3081,1,0,53
10,3,210,6.769531,3467,1,0,210
10,4,20,7.748047,3968,1,0,20
10,5,94,9.582031,4907,2,0,94
10,6,52,11.09766,5683,2,0,52
10,7,210,11.60156,5941,2,0,210
10,8,110,12.54883,6426,2,0,110
10,9,92,14.38281,7365,3,1,-999
10,10,51,15.89844,8141,3,1,-999
10,11,110,17.73242,9080,3,1,-999
10,12,91,19.31641,9891,4,0,91
10,13,52,20.83203,10667,4,0,52
10,14,210,21.50391,11011,4,0,210
10,15,20,22.44922,11495,4,0,20
10,16,91,24.11719,12349,5,0,91
10,17,51,25.63281,13125,5,0,51
10,18,210,26.33789,13486,5,0,210
10,19,20,27.30078,13979,5,0,20
10,20,94,28.88281,14789,6,0,94
10,21,52,30.40039,15566,6,0,52
10,22,210,31.14648,15948,6,0,210
10,23,110,32.11719,16445,6,0,110
10,24,91,33.76758,17290,7,0,91
10,25,51,35.2832,18066,7,0,51
10,26,210,36.01562,18441,7,0,210
10,27,20,37.01758,18954,7,0,20
10,28,94,38.61719,19773,8,0,94
10,29,51,40.13477,20550,8,0,51
10,30,210,41,20993,8,0,210
10,31,10,41.93359,21471,8,0,10
10,32,93,43.63477,22342,9,0,93
10,33,52,45.15039,23118,9,0,52
10,34,210,45.9043,23504,9,0,210
10,35,20,46.86914,23998,9,0,20
10,36,91,48.28516,24723,10,0,91
10,37,52,49.80273,25500,10,0,52
10,38,210,50.46094,25837,10,0,210
10,39,20,51.38477,26310,10,0,20
10,40,92,53.16797,27223,11,0,92
10,41,52,54.68555,28000,11,0,52
10,42,210,55.16211,28244,11,0,210
10,43,110,56.13672,28743,11,0,110
10,44,92,58.23633,29818,12,0,92
10,45,51,59.75195,30594,12,0,51
10,46,200,60.63672,31047,12,0,200
10,47,110,61.55273,31516,12,0,110
10,48,92,63.26953,32395,13,1,-999
10,49,51,64.78711,33172,13,1,-999
10,50,110,66.61914,34110,13,1,-999
10,51,93,68.37109,35007,14,0,93
10,52,53,69.88672,35783,14,0,53
10,53,210,70.5918,36144,14,0,210
10,54,20,71.52148,36620,14,0,20
10,55,91,73.35352,37558,15,0,91
10,56,52,74.87109,38335,15,0,52
10,57,210,75.79102,38806,15,0,210
10,58,20,76.78711,39316,15,0,20
10,59,92,78.55469,40221,16,0,92
10,60,51,80.07031,40997,16,0,51
10,61,210,80.81055,41376,16,0,210
10,62,10,81.78711,41876,16,0,10
10,63,93,83.28906,42645,17,0,93
10,64,52,84.80469,43421,17,0,52
10,65,210,85.60547,43831,17,0,210
10,66,10,86.57227,44326,17,0,10
10,67,94,88.17188,45145,18,0,94
10,68,53,89.68945,45922,18,0,53
10,69,210,90.50195,46338,18,0,210
10,70,10,91.45508,46826,18,0,10
10,71,91,93.05664,47646,19,0,91
10,72,52,94.57227,48422,19,0,52
10,73,210,95.37891,48835,19,0,210
10,74,20,96.30664,49310,19,0,20
10,75,94,97.82227,50086,20,0,94
10,76,51,99.33984,50863,20,0,51
10,77,210,100.0039,51203,20,0,210
10,78,110,100.957,51691,20,0,110
10,79,94,102.8398,52655,21,0,94
10,80,52,104.3574,53432,21,0,52
10,81,210,105.1543,53840,21,0,210
10,82,10,106.1406,54345,21,0,10
10,83,93,107.9238,55258,22,0,93
10,84,52,109.4414,56035,22,0,52
10,85,210,110.3457,56498,22,0,210
10,86,10,111.291,56982,22,0,10
10,87,91,112.791,57750,23,0,91
10,88,52,114.3066,58526,23,0,52
10,89,210,114.9492,58855,23,0,210
10,90,10,115.875,59329,23,0,10
10,91,92,117.4414,60131,24,0,92
10,92,52,118.957,60907,24,0,52
10,93,210,119.7578,61317,24,0,210
10,94,10,120.7246,61812,24,0,10
10,95,91,122.5078,62725,25,0,91
10,96,52,124.0254,63502,25,0,52
10,97,210,124.75,63873,25,0,210
10,98,10,125.6758,64347,25,0,10
10,99,91,127.5762,65320,26,0,91
10,100,53,129.0918,66096,26,0,53
10,101,210,129.8223,66470,26,0,210
10,102,10,130.7598,66950,26,0,10
10,103,92,132.625,67905,27,0,92
10,104,52,134.1426,68682,27,0,52
10,105,210,134.7832,69010,27,0,210
10,106,110,135.709,69484,27,0,110
10,107,92,137.6934,70500,28,0,92
10,108,53,139.209,71276,28,0,53
10,109,210,140.0156,71689,28,0,210
10,110,10,140.959,72172,28,0,10
10,111,93,142.8105,73120,29,0,93
10,112,51,144.3262,73896,29,0,51
10,113,210,145.1719,74329,29,0,210
10,114,10,146.1426,74826,29,0,10
10,115,92,147.4941,75518,30,0,92
10,116,51,149.0098,76294,30,0,51
10,117,200,149.8027,76700,30,0,200
10,118,10,150.7441,77182,30,0,10
10,119,94,152.4941,78078,31,0,94
10,120,52,154.0117,78855,31,0,52
10,121,210,154.6523,79183,31,0,210
10,122,110,155.5938,79665,31,0,110
10,123,91,157.3789,80579,32,0,91
10,124,53,158.8945,81355,32,0,53
10,125,210,159.6445,81739,32,0,210
10,126,10,160.5781,82217,32,0,10
10,127,93,162.0781,82985,33,0,93
10,128,51,163.5957,83762,33,0,51
10,129,210,164.4141,84181,33,0,210
10,130,10,165.3613,84666,33,0,10
10,131,91,167.0781,85545,34,0,91
10,132,51,168.5957,86322,34,0,51
10,133,210,169.2969,86681,34,0,210
10,134,10,170.2461,87167,34,0,10
10,135,92,171.8457,87986,35,0,92
10,136,53,173.3633,88763,35,0,53
