"subject","dataCuesN","triggerCuesN","triggerTargetsN","triggerResponseN","triggerFeedbackN"
1,570,570,570,570,570
2,502,502,502,502,502
3,535,535,535,535,535
4,580,580,580,580,580
6,552,552,552,552,552
8,547,547,547,547,547
9,568,568,568,568,568
10,518,518,518,518,518
11,562,562,562,562,562
12,527,527,527,528,527
13,549,549,549,549,549
14,542,542,542,542,542
17,561,561,561,561,561
18,582,582,582,582,582
20,538,538,538,538,538
21,548,548,548,548,548
23,545,545,545,545,545
25,498,498,498,498,498
26,565,565,565,565,565
28,558,558,558,558,558
29,496,496,496,496,496
30,585,585,585,585,585
31,599,599,599,599,599
32,579,579,579,579,579
34,583,583,583,583,583
35,531,531,531,531,531
37,580,580,580,580,580
38,398,398,398,398,398
39,555,555,555,555,555
40,594,594,594,594,594
41,429,429,429,429,429
42,560,560,560,560,560
43,454,454,454,454,454
44,464,464,464,464,464
46,345,345,345,345,345
49,576,576,576,576,576
50,539,539,539,539,539
53,570,570,570,571,570
54,583,583,583,583,583
56,598,598,598,598,598
57,577,577,577,577,577
58,560,560,560,560,560
61,576,576,576,576,576
62,573,573,573,573,573
63,513,513,513,513,513
65,568,568,568,568,568
66,564,564,564,564,564
67,586,586,586,586,586
68,595,595,595,596,595
70,595,595,595,595,595
71,564,564,564,566,564
72,443,443,443,443,443
73,543,543,543,543,543
