type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	10010358 DISPLAY_COORDS 0 0 1023 767",,,28
!CAL,1,"MSG	10526286 !CAL ",,,28
!CAL,1,"MSG	10526286 !CAL Calibration points:  ",,,28
!CAL,1,"MSG	10526286 !CAL  3.0, -53.4         0,   -711   ",,,28
!CAL,1,"MSG	10526286 !CAL -13.6, -54.2     -2478,   -711   ",,,28
!CAL,1,"MSG	10526286 !CAL  21.0, -53.5      2478,   -711   ",,,28
!CAL,1,"MSG	10526286 !CAL eye check box: (L,R,T,B)",,,28
!CAL,1,"MSG	10526286 !CAL href cal range: (L,R,T,B)",,,28
!CAL,1,"MSG	10526286 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,28
!CAL,1,"MSG	10526286 !CAL Prerotate (eye, ref : cos, sin:  0.99982  0.019117       1     0",,,28
!CAL,1,"MSG	10526287 !CAL Gains: cx:142.861 lx:155.752 rx:129.973",,,28
!CAL,1,"MSG	10526287 !CAL Gains: cy:319.865 ty:319.863 by:319.863",,,28
!CAL,1,"MSG	10526287 !CAL Resolution (upd) at screen center: X=1.8, Y=0.8",,,28
!CAL,1,"MSG	10526287 !CAL Gain Change Proportion: X: 0.198 Y: 0.000",,,28
!CAL,1,"MSG	10526287 !CAL Gain Ratio (Gy/Gx) = 2.239",,,28
!CAL,1,"MSG	10526287 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,28
!CAL,1,"MSG	10526287 !CAL PCR gain ratio(x,y) = 2.624, 2.624",,,28
!CAL,1,"MSG	10526287 !CAL CR gain match(x,y) = 1.010, 1.010",,,28
!CAL,1,"MSG	10526287 !CAL Slip rotation correction OFF",,,28
!CAL,1,"MSG	10526291 !CAL CALIBRATION H3 L LEFT    GOOD ",,,28
!CAL,1,"MSG	10532156 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.17 avg. 0.32 max  OFFSET 0.17 deg. -8.3,0.0 pix.",,,28
VALIDATE,1,"MSG	10532156 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.32 deg.  -15.5,0.0 pix.",,,28
VALIDATE,1,"MSG	10532156 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.10 deg.  -4.9,0.0 pix.",,,28
VALIDATE,1,"MSG	10532156 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.01 deg.  -0.7,0.0 pix.",,,28
RECCFG,1,"MSG	10542665 RECCFG CR 1000 2 1 L",,,28
ELCLCFG,1,"MSG	10542665 ELCLCFG MTABLE",,,28
