event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1036.0,-5.9110987751282105,6.231716938091405,9,10.1,1300,0.49576136300434737
cue,92,92.0,1.0,1612.0,-5.9110987751282105,5.309179914330803,9,10.1,1300,0.49576136300434737
stimulus,51,51.0,1.0,3128.0,-5.9110987751282105,8.07146928902714,9,10.1,1300,0.49576136300434737
response,200,200.0,1.0,3858.0,-5.9110987751282105,5.038607385407425,9,10.1,1300,0.49576136300434737
feedback,10,10.0,1.0,4778.0,-5.9110987751282105,7.592314602376026,9,10.1,1300,0.49576136300434737
fixation,TRIALID 2,0.002,2.0,5750.0,-5.9110987751282105,4.979208652354589,9,10.1,1300,0.49576136300434737
cue,93,93.0,2.0,6444.0,-5.9110987751282105,6.247871816410922,9,10.1,1300,0.49576136300434737
stimulus,51,51.0,2.0,7960.0,-5.9110987751282105,7.473548638566856,9,10.1,1300,0.49576136300434737
response,200,200.0,2.0,8442.0,-5.9110987751282105,3.064687711373726,9,10.1,1300,0.49576136300434737
feedback,10,10.0,2.0,9428.0,-5.9110987751282105,7.94708954317051,9,10.1,1300,0.49576136300434737
fixation,TRIALID 3,0.003,3.0,10568.0,-5.9110987751282105,6.615656402128797,9,10.1,1300,0.49576136300434737
cue,92,92.0,3.0,11478.0,-5.9110987751282105,7.3587347580376115,9,10.1,1300,0.49576136300434737
stimulus,53,53.0,3.0,12994.0,-5.9110987751282105,7.382326959678422,9,10.1,1300,0.49576136300434737
response,200,200.0,3.0,13632.0,-5.9110987751282105,5.017976392056966,9,10.1,1300,0.49576136300434737
feedback,10,10.0,3.0,14610.0,-5.9110987751282105,7.95166202649414,9,10.1,1300,0.49576136300434737
fixation,TRIALID 4,0.004,4.0,15604.0,-5.9110987751282105,4.67863713745222,9,10.1,1300,0.49576136300434737
cue,94,94.0,4.0,16278.0,-5.9110987751282105,7.59145746412247,9,10.1,1300,0.49576136300434737
stimulus,52,52.0,4.0,17794.0,-5.9110987751282105,7.581208914369601,9,10.1,1300,0.49576136300434737
response,210,210.0,4.0,18316.0,-5.9110987751282105,3.5846407760097363,9,10.1,1300,0.49576136300434737
feedback,110,110.0,4.0,19278.0,-5.9110987751282105,8.008655416217767,9,10.1,1300,0.49576136300434737
fixation,TRIALID 5,0.005,5.0,20396.0,-5.9110987751282105,6.837886792314466,9,10.1,1300,0.49576136300434737
cue,94,94.0,5.0,21378.0,-5.9110987751282105,7.78558406622348,9,10.1,1300,0.49576136300434737
stimulus,51,51.0,5.0,22894.0,-5.9110987751282105,8.120188075437502,9,10.1,1300,0.49576136300434737
response,200,200.0,5.0,23632.0,-5.9110987751282105,5.333506407115133,9,10.1,1300,0.49576136300434737
feedback,10,10.0,5.0,24578.0,-5.9110987751282105,7.7924938930701435,9,10.1,1300,0.49576136300434737
fixation,TRIALID 6,0.006,6.0,25502.0,-5.9110987751282105,3.39216562949832,9,10.1,1300,0.49576136300434737
cue,94,94.0,6.0,26028.0,-5.9110987751282105,7.349325502699516,9,10.1,1300,0.49576136300434737
stimulus,53,53.0,6.0,27544.0,-5.9110987751282105,8.207552523716394,9,10.1,1300,0.49576136300434737
response,210,210.0,6.0,28010.0,-5.9110987751282105,2.600037003333043,9,10.1,1300,0.49576136300434737
feedback,110,110.0,6.0,28944.0,-5.9110987751282105,8.40337689638499,9,10.1,1300,0.49576136300434737
fixation,TRIALID 7,0.007,7.0,30142.0,-5.9110987751282105,7.25347771148967,9,10.1,1300,0.49576136300434737
cue,92,92.0,7.0,30962.0,-5.9110987751282105,8.316043110060535,9,10.1,1300,0.49576136300434737
stimulus,52,52.0,7.0,32478.0,-5.9110987751282105,8.076506049412224,9,10.1,1300,0.49576136300434737
response,210,210.0,7.0,33096.0,-5.9110987751282105,4.259847314909853,9,10.1,1300,0.49576136300434737
feedback,10,10.0,7.0,34028.0,-5.9110987751282105,8.655060709170257,9,10.1,1300,0.49576136300434737
fixation,TRIALID 8,0.008,8.0,35086.0,-5.9110987751282105,4.659231726651539,9,10.1,1300,0.49576136300434737
cue,94,94.0,8.0,35662.0,-5.9110987751282105,7.53466179006911,9,10.1,1300,0.49576136300434737
stimulus,52,52.0,8.0,37178.0,-5.9110987751282105,8.244573508725164,9,10.1,1300,0.49576136300434737
response,210,210.0,8.0,37598.0,-5.9110987751282105,1.8946328601921079,9,10.1,1300,0.49576136300434737
feedback,110,110.0,8.0,38512.0,-5.9110987751282105,8.920610012539125,9,10.1,1300,0.49576136300434737
fixation,TRIALID 9,0.009,9.0,39790.0,-5.9110987751282105,5.570297004943009,9,10.1,1300,0.49576136300434737
cue,91,91.0,9.0,40662.0,-5.9110987751282105,5.667150057112398,9,10.1,1300,0.49576136300434737
stimulus,53,53.0,9.0,42178.0,-5.9110987751282105,7.548880437070341,9,10.1,1300,0.49576136300434737
